,Watch Name,Watch Price,MRP Price,Discout,Description
105,"Fire-Boltt Hurricane 1.3"" Curved Glass Display with 360...","₹1,299","₹8,999",85% off,"Grey Strap, Free Size"
106,"Pebble Cosmos Ultra 1.91"" 600 nits BT-Calling High-Res ...","₹1,499","₹7,499",80% off,Sponsored
107,"Gamesir KIDS Watch-1 Sos Call, Sim Call, 3 Types Game, ...","₹1,300","₹2,999",56% off,Sponsored
108,"Fire-Boltt Rock 1.3 AMOLED Display, Bluetooth Calling, ...","₹1,999","₹18,999",89% off,"Grey Strap, 1.3"
109,"Fastrack Optimus Pro with 1.43"" AMOLED Display & AOD(46...","₹1,999","₹5,995",66% off,"Black Strap, Free Size"
110,"Fire-Boltt Rise Steel Ultra 1.91 Display, BT Call, Voic...","₹1,399","₹14,999",90% off,Sponsored
111,"Cult Shock X 1.43"" AMOLED, 420mAh Battery, 850 NITS, AO...","₹2,699","₹9,999",73% off,Sponsored
112,"Fastrack Revoltt FS1 Pro|World's First,1.96"" Super AMOL...","₹1,999","₹7,995",74% off,"Green Strap, Free Size"
113,Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge...,"₹1,099","₹3,995",72% off,"Green Strap, Free Size"
114,"CMF by Nothing Watch Pro, 1.96 AMOLED display, BT calli...","₹3,299","₹5,999",45% off,"Ash Grey Strap, Free Size"
115,Fire-Boltt Ninja Talk 1.39'' Round Bluetooth Calling Me...,"₹1,599","₹11,999",86% off,"Pink Strap, 1.39"""
116,"yoof Magic with 1.85"" HD Square Display, Bluetooth Call...","₹1,499","₹5,999",75% off,Sponsored
117,alt OG Supreme 1.96'' AMOLED Single Chip Calling 120 sp...,"₹1,599","₹14,999",89% off,Sponsored
118,"Fastrack Optimus Pro with 1.43"" AMOLED Display & AOD(46...","₹1,999","₹5,995",66% off,"Blue Strap, Free Size"
119,"Fire-Boltt Epic with1.69"" 2.5D Curved Glass,SPO2, Heart...",₹999,"₹7,999",87% off,"Black Strap, Free Size"
120,PunnkFunnk Kids Anti-Lost Smart Watch with Phone Call C...,"₹1,303","₹2,999",56% off,Sponsored
121,"Noise Pro 5 Max 1.96 AMOLED Display, Post Workout Analy...","₹4,499","₹9,999",55% off,Sponsored
122,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...","₹1,099","₹4,999",78% off,"Midnight Gold Strap, Regular"
123,"Ambrane Wise Glaze with 1.78"" Amoled display, BT Callin...","₹1,299","₹5,999",78% off,"Black Strap, Regular"
124,Fire-Boltt Hunter 2.01 inch HD Display Buetooth Calling...,"₹1,199","₹14,999",92% off,"Black Strap, Free Size"
125,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...","₹1,099","₹4,999",78% off,"Green Strap, Regular"
126,"Fire-Boltt Rise Steel Ultra 1.91 Display, BT Call, Voic...","₹1,399","₹14,999",90% off,Sponsored
127,"Boult Cosmic R 1.39 inch HD, BT Calling, Zinc Alloy Fra...","₹1,099","₹5,999",81% off,Sponsored
128,"Noise Icon 3 1.91"" Display with Bluetooth Calling, Meta...","₹1,199","₹7,999",85% off,"Navy Blue Strap, Regular"
129,Fire-Boltt Legend Bluetooth Calling with 1.39'' Round D...,₹999,"₹9,999",90% off,"Black Strap, Free Size"
130,"Fire-Boltt Ninja Talk AMOLED: 1.43 AMOLED Display, 700 ...","₹1,599","₹12,999",87% off,Sponsored
131,"boAt Wave Sigma with 2.01"" HD Display, BT Calling,Coins...","₹1,599","₹7,499",78% off,Sponsored
132,"Fastrack Revoltt FS1 Pro|World's First,1.96"" Super AMOL...","₹1,999","₹7,995",74% off,"Black Strap, Free Size"
133,"Fastrack Revoltt FS1 Pro|World's First,1.96"" Super AMOL...","₹1,999","₹7,995",74% off,"Blue Strap, Free Size"
134,Fire-Boltt Destiny 1.39'' Stainless Steel Luxury Smartw...,"₹1,499","₹11,999",87% off,"Black Strap, Free Size"
135,Noise Loop 1.85'' Display with Advanced Bluetooth Calli...,"₹1,099","₹6,999",84% off,"Blue Strap, Regular"
136,"Cult Ace X1 2.04"" Amoled Display,1000 NITS, Bluetooth C...","₹2,499","₹7,999",68% off,Sponsored
137,"Pebble Cosmos Vault 1.43""Amoled Display Luxury Metal, A...","₹1,699","₹9,999",83% off,Sponsored
138,"Noise Crew 1.38"" Round Display with Bluetooth Calling, ...","₹1,099","₹4,999",78% off,"Green Strap, Regular"
139,Fire-Boltt Hulk 1.78 inch Amoled Bluetooth Calling with...,"₹1,499","₹17,999",91% off,"Grey Strap, 1.78"
140,"PA Maxima Max Pro Coral Plus 1.96''Ultra HD Display, BT...","₹1,299","₹5,499",76% off,Sponsored
141,"PunnkFunnk 2G Flash Kids Boys Girls, With Games, Sos Ca...","₹1,399","₹4,999",72% off,Sponsored
142,"Fire-Boltt Expedition GPS Inbuilt Smart Watch, Bluetoot...","₹1,999","₹21,999",90% off,"Green Strap, Free Size"
143,Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Blu...,"₹1,099","₹9,999",89% off,"Grey Strap, Free Size"
144,"Fire-Boltt Rock 1.3 AMOLED Display, Bluetooth Calling, ...","₹1,999","₹18,999",89% off,"Black Strap, 1.3"
145,"Fire-Boltt Hurricane 1.3"" Curved Glass Display with 360...","₹1,299","₹8,999",85% off,"Grey Strap, Free Size"
146,"Pebble Cosmos Ultra 1.91"" 600 nits BT-Calling High-Res ...","₹1,499","₹7,499",80% off,Sponsored
147,"Gamesir KIDS Watch-1 Sos Call, Sim Call, 3 Types Game, ...","₹1,300","₹2,999",56% off,Sponsored
148,"Fire-Boltt Rock 1.3 AMOLED Display, Bluetooth Calling, ...","₹1,999","₹18,999",89% off,"Grey Strap, 1.3"
149,"Fastrack Optimus Pro with 1.43"" AMOLED Display & AOD(46...","₹1,999","₹5,995",66% off,"Black Strap, Free Size"
150,"Fire-Boltt Rise Steel Ultra 1.91 Display, BT Call, Voic...","₹1,399","₹14,999",90% off,Sponsored
151,"Cult Shock X 1.43"" AMOLED, 420mAh Battery, 850 NITS, AO...","₹2,699","₹9,999",73% off,Sponsored
152,"Fastrack Revoltt FS1 Pro|World's First,1.96"" Super AMOL...","₹1,999","₹7,995",74% off,"Green Strap, Free Size"
153,Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge...,"₹1,099","₹3,995",72% off,"Green Strap, Free Size"
154,"CMF by Nothing Watch Pro, 1.96 AMOLED display, BT calli...","₹3,299","₹5,999",45% off,"Ash Grey Strap, Free Size"
155,Fire-Boltt Ninja Talk 1.39'' Round Bluetooth Calling Me...,"₹1,599","₹11,999",86% off,"Pink Strap, 1.39"""
156,"yoof Magic with 1.85"" HD Square Display, Bluetooth Call...","₹1,499","₹5,999",75% off,Sponsored
157,alt OG Supreme 1.96'' AMOLED Single Chip Calling 120 sp...,"₹1,599","₹14,999",89% off,Sponsored
158,"Fastrack Optimus Pro with 1.43"" AMOLED Display & AOD(46...","₹1,999","₹5,995",66% off,"Blue Strap, Free Size"
159,"Fire-Boltt Epic with1.69"" 2.5D Curved Glass,SPO2, Heart...",₹999,"₹7,999",87% off,"Black Strap, Free Size"
160,PunnkFunnk Kids Anti-Lost Smart Watch with Phone Call C...,"₹1,303","₹2,999",56% off,Sponsored
161,"Noise Pro 5 Max 1.96 AMOLED Display, Post Workout Analy...","₹4,499","₹9,999",55% off,Sponsored
162,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...","₹1,099","₹4,999",78% off,"Midnight Gold Strap, Regular"
163,"Ambrane Wise Glaze with 1.78"" Amoled display, BT Callin...","₹1,299","₹5,999",78% off,"Black Strap, Regular"
164,Fire-Boltt Hunter 2.01 inch HD Display Buetooth Calling...,"₹1,199","₹14,999",92% off,"Black Strap, Free Size"
165,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...","₹1,099","₹4,999",78% off,"Green Strap, Regular"
166,"Fire-Boltt Rise Steel Ultra 1.91 Display, BT Call, Voic...","₹1,399","₹14,999",90% off,Sponsored
167,"Boult Cosmic R 1.39 inch HD, BT Calling, Zinc Alloy Fra...","₹1,099","₹5,999",81% off,Sponsored
168,"Noise Icon 3 1.91"" Display with Bluetooth Calling, Meta...","₹1,199","₹7,999",85% off,"Navy Blue Strap, Regular"
169,Fire-Boltt Legend Bluetooth Calling with 1.39'' Round D...,₹999,"₹9,999",90% off,"Black Strap, Free Size"
170,"Fire-Boltt Ninja Talk AMOLED: 1.43 AMOLED Display, 700 ...","₹1,599","₹12,999",87% off,Sponsored
171,"boAt Wave Sigma with 2.01"" HD Display, BT Calling,Coins...","₹1,599","₹7,499",78% off,Sponsored
172,"Fastrack Revoltt FS1 Pro|World's First,1.96"" Super AMOL...","₹1,999","₹7,995",74% off,"Black Strap, Free Size"
173,"Fastrack Revoltt FS1 Pro|World's First,1.96"" Super AMOL...","₹1,999","₹7,995",74% off,"Blue Strap, Free Size"
174,Fire-Boltt Destiny 1.39'' Stainless Steel Luxury Smartw...,"₹1,499","₹11,999",87% off,"Black Strap, Free Size"
175,Noise Loop 1.85'' Display with Advanced Bluetooth Calli...,"₹1,099","₹6,999",84% off,"Blue Strap, Regular"
176,"Cult Ace X1 2.04"" Amoled Display,1000 NITS, Bluetooth C...","₹2,499","₹7,999",68% off,Sponsored
177,"Pebble Cosmos Vault 1.43""Amoled Display Luxury Metal, A...","₹1,699","₹9,999",83% off,Sponsored
178,"Noise Crew 1.38"" Round Display with Bluetooth Calling, ...","₹1,099","₹4,999",78% off,"Green Strap, Regular"
179,Fire-Boltt Hulk 1.78 inch Amoled Bluetooth Calling with...,"₹1,499","₹17,999",91% off,"Grey Strap, 1.78"
180,"PA Maxima Max Pro Coral Plus 1.96''Ultra HD Display, BT...","₹1,299","₹5,499",76% off,Sponsored
181,"PunnkFunnk 2G Flash Kids Boys Girls, With Games, Sos Ca...","₹1,399","₹4,999",72% off,Sponsored
182,"Fire-Boltt Expedition GPS Inbuilt Smart Watch, Bluetoot...","₹1,999","₹21,999",90% off,"Green Strap, Free Size"
183,Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Blu...,"₹1,099","₹9,999",89% off,"Grey Strap, Free Size"
184,"Fire-Boltt Rock 1.3 AMOLED Display, Bluetooth Calling, ...","₹1,999","₹18,999",89% off,"Black Strap, 1.3"
185,"Fire-Boltt Hurricane 1.3"" Curved Glass Display with 360...","₹1,299","₹8,999",85% off,"Grey Strap, Free Size"
186,"Pebble Cosmos Ultra 1.91"" 600 nits BT-Calling High-Res ...","₹1,499","₹7,499",80% off,Sponsored
187,"Gamesir KIDS Watch-1 Sos Call, Sim Call, 3 Types Game, ...","₹1,300","₹2,999",56% off,Sponsored
188,"Fire-Boltt Rock 1.3 AMOLED Display, Bluetooth Calling, ...","₹1,999","₹18,999",89% off,"Grey Strap, 1.3"
189,"Fastrack Optimus Pro with 1.43"" AMOLED Display & AOD(46...","₹1,999","₹5,995",66% off,"Black Strap, Free Size"
190,"Fire-Boltt Rise Steel Ultra 1.91 Display, BT Call, Voic...","₹1,399","₹14,999",90% off,Sponsored
191,"Cult Shock X 1.43"" AMOLED, 420mAh Battery, 850 NITS, AO...","₹2,699","₹9,999",73% off,Sponsored
192,"Fastrack Revoltt FS1 Pro|World's First,1.96"" Super AMOL...","₹1,999","₹7,995",74% off,"Green Strap, Free Size"
